verweis;teil;name_long;name;type;type_short
Art1_1_GG;I;Menschenwürde;Menschenwürde;;
Art1_2_GG;I;;;;
Art1_3_GG;I;;;;
Art2_1_GG;I;Allgemeine Handlungsfreiheit;Allg. Handlungsfreiheit;Allg. Freiheitsrecht;Freiheitsrecht
Art2_2_GG;I;Recht auf Leben und körperliche Unversehrtheit / Freiheit der Person;Leben/körperliche Unversehrtheit/Freiheit der Person;Bes. Freiheitsrecht;Freiheitsrecht
Art3_1_GG;I;Allgemeiner Gleichheitsgrundsatz;Allg. Gleichheitssatz;Allg. Gleichheitsrecht;Gleichheitsrecht
Art3_2_GG;I;Gleichberechtigung von Mann und Frau;Gleichberechtigung Mann/Frau;Bes. Gleichheitsrecht;Gleichheitsrecht
Art3_3_GG;I;Diskriminierungsverbote;Diskriminierungsverbote;Bes. Gleichheitsrecht;Gleichheitsrecht
Art4_1_GG;I;Glaubens-, Gewissens-, Religions- und Weltanschauungsfreiheit;Religionsfreiheit;Bes. Freiheitsrecht;Freiheitsrecht
Art4_2_GG;I;Glaubens-, Gewissens-, Religions- und Weltanschauungsfreiheit;Religionsfreiheit;Bes. Freiheitsrecht;Freiheitsrecht
Art4_3_GG;I;Kriegsdienstverweigerung;Kriegsdienstverweigerung;Bes. Freiheitsrecht;Freiheitsrecht
Art5_1_GG;I;Meinungs- und Informationsfreiheit sowie Presse-, Rundfunk- und Filmfreiheit;Meinungsfreiheit;Bes. Freiheitsrecht;Freiheitsrecht
Art5_2_GG;I;;;;
Art5_3_GG;I;Kunst- und Wissenschaftsfreiheit;Kunst- und Wissenschaftsfreiheit;Bes. Freiheitsrecht;Freiheitsrecht
Art6_1_GG;I;Schutz von Ehe und Familie;Schutz von Ehe und Familie;Bes. Freiheitsrecht;Freiheitsrecht
Art6_2_GG;I;Elternrecht;Elternrecht;Bes. Freiheitsrecht;Freiheitsrecht
Art6_3_GG;I;;;;
Art6_4_GG;I;;;;
Art6_5_GG;I;Diskriminierungsverbot uneheliche Kinder;Diskriminierungsverbot uneheliche Kinder;Bes. Gleichheitsrecht;Gleichheitsrecht
Art7_1_GG;I;;;;
Art7_2_GG;I;Freie Teilnahme am Religionsunterricht;Religionsunterricht Teilnahme;Bes. Freiheitsrecht;Freiheitsrecht
Art7_3_GG;I;Religionsunterricht der Religionsgemeinschaften/Lehrfreiheit Religion;Religionsunterricht Ausrichtung/Lehrfreiheit;Bes. Freiheitsrecht;Freiheitsrecht
Art7_4_GG;I;Privatschulfreiheit;Privatschulfreiheit;Bes. Freiheitsrecht;Freiheitsrecht
Art7_5_GG;I;Privatschulfreiheit ;Privatschulfreiheit;Bes. Freiheitsrecht;Freiheitsrecht
Art7_6_GG;I;;;;
Art8_1_GG;I;Versammlungsfreiheit;Versammlungsfreiheit;Bes. Freiheitsrecht;Freiheitsrecht
Art8_2_GG;I;;;;
Art9_1_GG;I;Vereinigungsfreiheit;Vereinigungsfreiheit;Bes. Freiheitsrecht;Freiheitsrecht
Art9_2_GG;I;;;;
Art9_3_GG;I;Koalitionsfreiheit;Koalitionsfreiheit;Bes. Freiheitsrecht;Freiheitsrecht
Art10_1_GG;I;Brief-, Post- und Fernmeldegeheimnis;Telekommunikationsfreiheit;Bes. Freiheitsrecht;Freiheitsrecht
Art10_2_GG;I;;;;
Art11_1_GG;I;Freizügigkeitsrecht;Freizügigkeitsrecht;Bes. Freiheitsrecht;Freiheitsrecht
Art11_2_GG;I;;;;
Art12_1_GG;I;Berufsfreiheit;Berufsfreiheit;Bes. Freiheitsrecht;Freiheitsrecht
Art12_2_GG;I;Freiheit von Arbeitszwang;Arbeitszwang;Bes. Freiheitsrecht;Freiheitsrecht
Art12_3_GG;I;Freiheit von Zwangsarbeit;Zwangsarbeit;Bes. Freiheitsrecht;Freiheitsrecht
Art12a_1_GG;I;;;;
Art12a_2_GG;I;;;;
Art12a_3_GG;I;;;;
Art12a_4_GG;I;;;;
Art12a_5_GG;I;;;;
Art12a_6_GG;I;;;;
Art13_1_GG;I;Unverletzlichkeit der Wohnung;Wohnungsgrundrecht;Bes. Freiheitsrecht;Freiheitsrecht
Art13_2_GG;I;;;;
Art13_3_GG;I;;;;
Art13_4_GG;I;;;;
Art13_5_GG;I;;;;
Art13_6_GG;I;;;;
Art13_7_GG;I;;;;
Art14_1_GG;I;Eigentum/Erbrecht;Eigentum;Bes. Freiheitsrecht;Freiheitsrecht
Art14_2_GG;I;;;;
Art14_3_GG;I;;;;
Art15_GG;I;;;;
Art16_1_GG;I;Schutz vor Ausbürgerung;Schutz vor Ausbürgerung;Bes. Freiheitsrecht;Freiheitsrecht
Art16_2_GG;I;Auslieferungsverbot;Auslieferungsverbot;Bes. Freiheitsrecht;Freiheitsrecht
Art16a_1_GG;I;Asylrecht;Asylrecht;;
Art16a_2_GG;I;;;;
Art16a_3_GG;I;;;;
Art16a_4_GG;I;;;;
Art16a_5_GG;I;;;;
Art17_GG;I;Petitionsrecht;Petitionsrecht;;
Art17a_1_GG;I;Grundrechtseinschränkungen bei Dienstpflichten;;;
Art17a_2_GG;I;;;;
Art18_GG;I;Grundrechtsverwirkung;;;
Art19_1_GG;I;Verbot Einzelfallgesetz/Zitiergebot;;;
Art19_2_GG;I;Wesensgehaltsgarantie (deutet auf Freiheitsrecht hin, aber unselbständig);;;
Art19_3_GG;I;;;;
Art19_4_GG;I;Rechtsschutzgarantie;Rechtsschutzgarantie;;
Art20_1_GG;II;Republik, Demokratie, Sozialstaat, Bundesstaat;Staatsstrukturprinzipien;;
Art20_2_GG;II;Demokratieprinzip;Demokratieprinzip;;
Art20_3_GG;II;Rechtsstaatsprinzip;Rechtsstaatsprinzip;;
Art20_4_GG;II;Widerstandsrecht;;;
Art20a_GG;II;Natürliche Lebensgrundlagen;Natürliche Lebensgrundlagen;;
Art21_1_GG;II;;;;
Art21_2_GG;II;;;;
Art21_3_GG;II;;;;
Art21_4_GG;II;;;;
Art21_5_GG;II;;;;
Art22_1_GG;II;;;;
Art22_2_GG;II;;;;
Art23_1_GG;II;;;;
Art23_1a_GG;II;;;;
Art23_2_GG;II;;;;
Art23_3_GG;II;;;;
Art23_4_GG;II;;;;
Art23_5_GG;II;;;;
Art23_6_GG;II;;;;
Art23_7_GG;II;;;;
Art24_1_GG;II;;;;
Art24_1a_GG;II;;;;
Art24_2_GG;II;;;;
Art24_3_GG;II;;;;
Art25_GG;II;;;;
Art26_1_GG;II;;;;
Art26_2_GG;II;;;;
Art27_GG;II;;;;
Art28_1_GG;II;;;;
Art28_2_GG;II;;;;
Art28_3_GG;II;;;;
Art29_1_GG;II;;;;
Art29_2_GG;II;;;;
Art29_3_GG;II;;;;
Art29_4_GG;II;;;;
Art29_5_GG;II;;;;
Art29_6_GG;II;;;;
Art29_7_GG;II;;;;
Art29_8_GG;II;;;;
Art30_GG;II;;;;
Art31_GG;II;;;;
Art32_1_GG;II;;;;
Art32_2_GG;II;;;;
Art32_3_GG;II;;;;
Art33_1_GG;II;Staatsbürgerliche Rechte und Pflichten;Staatsbürgerliche Rechte und Pflichten;Bes. Gleichheitsrecht;Gleichheitsrecht
Art33_2_GG;II;Zugang zu öffentlichen Ämtern;Zugang öffentliche Ämter;Bes. Gleichheitsrecht;Gleichheitsrecht
Art33_3_GG;II;Diskriminierungsverbot aufgrund der Religion bei staatsbürgerlichen Rechten;religiöse Diskriminierung staatsbürgerliche Rechte;Bes. Gleichheitsrecht;Gleichheitsrecht
Art33_4_GG;II;;;;
Art33_5_GG;II;;;;
Art34_GG;II;;;;
Art35_1_GG;II;;;;
Art35_2_GG;II;;;;
Art35_3_GG;II;;;;
Art36_1_GG;II;;;;
Art36_2_GG;II;;;;
Art37_1_GG;II;;;;
Art37_2_GG;II;;;;
Art38_1_GG;III;Allgemeinheit und Gleichheit der Wahl/Freiheit und Geheimheit der Wahl;Wahlrechtsgrundsätze;Bes. Gleichheitsrechte UND Bes. Freiheitsrechte;Gleichheitsrecht
Art38_2_GG;III;;;;
Art38_3_GG;III;;;;
Art39_1_GG;III;;;;
Art39_2_GG;III;;;;
Art39_3_GG;III;;;;
Art40_1_GG;III;;;;
Art40_2_GG;III;;;;
Art41_1_GG;III;;;;
Art41_2_GG;III;;;;
Art41_3_GG;III;;;;
Art42_1_GG;III;;;;
Art42_2_GG;III;;;;
Art42_3_GG;III;;;;
Art43_1_GG;III;;;;
Art43_2_GG;III;;;;
Art44_1_GG;III;;;;
Art44_2_GG;III;;;;
Art44_3_GG;III;;;;
Art44_4_GG;III;;;;
Art45_GG;III;;;;
Art45a_1_GG;III;;;;
Art45a_2_GG;III;;;;
Art45a_3_GG;III;;;;
Art45b_GG;III;;;;
Art45c_1_GG;III;;;;
Art45c_2_GG;III;;;;
Art45d_1_GG;III;;;;
Art45d_2_GG;III;;;;
Art46_1_GG;III;;;;
Art46_2_GG;III;;;;
Art46_3_GG;III;;;;
Art46_4_GG;III;;;;
Art47_GG;III;;;;
Art48_1_GG;III;;;;
Art48_2_GG;III;;;;
Art48_3_GG;III;;;;
Art49_GG;III;;;;
Art50_GG;IV;;;;
Art51_1_GG;IV;;;;
Art51_2_GG;IV;;;;
Art51_3_GG;IV;;;;
Art52_1_GG;IV;;;;
Art52_2_GG;IV;;;;
Art52_3_GG;IV;;;;
Art52_3a_GG;IV;;;;
Art52_4_GG;IV;;;;
Art53_GG;IV;;;;
Art53a_1_GG;IVa;;;;
Art53a_2_GG;IVa;;;;
Art54_1_GG;V;;;;
Art54_2_GG;V;;;;
Art54_3_GG;V;;;;
Art54_4_GG;V;;;;
Art54_5_GG;V;;;;
Art54_6_GG;V;;;;
Art54_7_GG;V;;;;
Art55_1_GG;V;;;;
Art55_2_GG;V;;;;
Art56_GG;V;;;;
Art57_GG;V;;;;
Art58_GG;V;;;;
Art59_1_GG;V;;;;
Art59_2_GG;V;;;;
Art59a_GG;V;;;;
Art60_1_GG;V;;;;
Art60_2_GG;V;;;;
Art60_3_GG;V;;;;
Art60_4_GG;V;;;;
Art61_1_GG;V;;;;
Art61_2_GG;V;;;;
Art62_GG;VI;;;;
Art63_1_GG;VI;;;;
Art63_2_GG;VI;;;;
Art63_3_GG;VI;;;;
Art63_4_GG;VI;;;;
Art64_1_GG;VI;;;;
Art64_2_GG;VI;;;;
Art65_GG;VI;;;;
Art65a_1_GG;VI;;;;
Art65a_2_GG;VI;;;;
Art66_GG;VI;;;;
Art67_1_GG;VI;;;;
Art67_2_GG;VI;;;;
Art68_1_GG;VI;;;;
Art68_2_GG;VI;;;;
Art69_1_GG;VI;;;;
Art69_2_GG;VI;;;;
Art69_3_GG;VI;;;;
Art70_1_GG;VII;;;;
Art70_2_GG;VII;;;;
Art71_GG;VII;;;;
Art72_1_GG;VII;;;;
Art72_2_GG;VII;;;;
Art72_3_GG;VII;;;;
Art72_4_GG;VII;;;;
Art73_1_GG;VII;;;;
Art73_2_GG;VII;;;;
Art74_1_GG;VII;;;;
Art74_2_GG;VII;;;;
Art74a_GG;VII;;;;
Art75_GG;VII;;;;
Art76_1_GG;VII;;;;
Art76_2_GG;VII;;;;
Art76_3_GG;VII;;;;
Art77_1_GG;VII;;;;
Art77_2_GG;VII;;;;
Art77_2a_GG;VII;;;;
Art77_3_GG;VII;;;;
Art77_4_GG;VII;;;;
Art78_GG;VII;;;;
Art79_1_GG;VII;;;;
Art79_2_GG;VII;;;;
Art79_3_GG;VII;;;;
Art80_1_GG;VII;;;;
Art80_2_GG;VII;;;;
Art80_3_GG;VII;;;;
Art80_4_GG;VII;;;;
Art80a_1_GG;VII;;;;
Art80a_2_GG;VII;;;;
Art80a_3_GG;VII;;;;
Art81_1_GG;VII;;;;
Art81_2_GG;VII;;;;
Art81_3_GG;VII;;;;
Art81_4_GG;VII;;;;
Art82_1_GG;VII;;;;
Art82_2_GG;VII;;;;
Art83_GG;VIII;;;;
Art84_1_GG;VIII;;;;
Art84_2_GG;VIII;;;;
Art84_3_GG;VIII;;;;
Art84_4_GG;VIII;;;;
Art84_5_GG;VIII;;;;
Art85_1_GG;VIII;;;;
Art85_2_GG;VIII;;;;
Art85_3_GG;VIII;;;;
Art85_4_GG;VIII;;;;
Art86_GG;VIII;;;;
Art87_1_GG;VIII;;;;
Art87_2_GG;VIII;;;;
Art87_3_GG;VIII;;;;
Art87a_1_GG;VIII;;;;
Art87a_2_GG;VIII;;;;
Art87a_3_GG;VIII;;;;
Art87a_4_GG;VIII;;;;
Art87b_1_GG;VIII;;;;
Art87b_2_GG;VIII;;;;
Art87c_GG;VIII;;;;
Art87d_1_GG;VIII;;;;
Art87d_2_GG;VIII;;;;
Art87e_1_GG;VIII;;;;
Art87e_2_GG;VIII;;;;
Art87e_3_GG;VIII;;;;
Art87e_4_GG;VIII;;;;
Art87e_5_GG;VIII;;;;
Art87f_1_GG;VIII;;;;
Art87f_2_GG;VIII;;;;
Art87f_3_GG;VIII;;;;
Art88_GG;VIII;;;;
Art89_1_GG;VIII;;;;
Art89_2_GG;VIII;;;;
Art89_3_GG;VIII;;;;
Art90_1_GG;VIII;;;;
Art90_2_GG;VIII;;;;
Art90_3_GG;VIII;;;;
Art90_4_GG;VIII;;;;
Art91_1_GG;VIII;;;;
Art91_2_GG;VIII;;;;
Art91a_1_GG;VIIIa;;;;
Art91a_2_GG;VIIIa;;;;
Art91a_3_GG;VIIIa;;;;
Art91b_1_GG;VIIIa;;;;
Art91b_2_GG;VIIIa;;;;
Art91b_3_GG;VIIIa;;;;
Art91c_1_GG;VIIIa;;;;
Art91c_2_GG;VIIIa;;;;
Art91c_3_GG;VIIIa;;;;
Art91c_4_GG;VIIIa;;;;
Art91c_5_GG;VIIIa;;;;
Art91d_GG;VIIIa;;;;
Art91e_1_GG;VIIIa;;;;
Art91e_2_GG;VIIIa;;;;
Art91e_3_GG;VIIIa;;;;
Art92_GG;IX;;;;
Art93_1_GG;IX;;;;
Art93_2_GG;IX;;;;
Art93_3_GG;IX;;;;
Art94_1_GG;IX;;;;
Art94_2_GG;IX;;;;
Art95_1_GG;IX;;;;
Art95_2_GG;IX;;;;
Art95_3_GG;IX;;;;
Art96_1_GG;IX;;;;
Art96_2_GG;IX;;;;
Art96_3_GG;IX;;;;
Art96_4_GG;IX;;;;
Art96_5_GG;IX;;;;
Art97_1_GG;IX;;;;
Art97_2_GG;IX;;;;
Art98_1_GG;IX;;;;
Art98_2_GG;IX;;;;
Art98_3_GG;IX;;;;
Art98_4_GG;IX;;;;
Art98_5_GG;IX;;;;
Art99_GG;IX;;;;
Art100_1_GG;IX;;;;
Art100_2_GG;IX;;;;
Art100_3_GG;IX;;;;
Art101_1_GG;IX;Recht auf den gesetzlichen Richter;;;
Art101_2_GG;IX;;;;
Art102_GG;IX;;;;
Art103_1_GG;IX;;;;
Art103_2_GG;IX;;;;
Art103_3_GG;IX;;;;
Art104_1_GG;IX;Freiheit der Person II;Freiheit der Person II;Bes. Freiheitsrecht;Freiheitsrecht
Art104_2_GG;IX;;;;
Art104_3_GG;IX;;;;
Art104_4_GG;IX;;;;
Art104a_1_GG;X;;;;
Art104a_2_GG;X;;;;
Art104a_3_GG;X;;;;
Art104a_4_GG;X;;;;
Art104a_5_GG;X;;;;
Art104a_6_GG;X;;;;
Art104b_1_GG;X;;;;
Art104b_2_GG;X;;;;
Art104b_3_GG;X;;;;
Art104c_GG;X;;;;
Art104d_GG;X;;;;
Art105_1_GG;X;;;;
Art105_2_GG;X;;;;
Art105_2a_GG;X;;;;
Art105_3_GG;X;;;;
Art106_1_GG;X;;;;
Art106_2_GG;X;;;;
Art106_3_GG;X;;;;
Art106_4_GG;X;;;;
Art106_5_GG;X;;;;
Art106_5a_GG;X;;;;
Art106_6_GG;X;;;;
Art106_7_GG;X;;;;
Art106_8_GG;X;;;;
Art106_9_GG;X;;;;
Art106a_GG;X;;;;
Art106b_GG;X;;;;
Art107_1_GG;X;;;;
Art107_2_GG;X;;;;
Art108_1_GG;X;;;;
Art108_2_GG;X;;;;
Art108_3_GG;X;;;;
Art108_4_GG;X;;;;
Art108_4a_GG;X;;;;
Art108_5_GG;X;;;;
Art108_6_GG;X;;;;
Art108_7_GG;X;;;;
Art109_1_GG;X;;;;
Art109_2_GG;X;;;;
Art109_3_GG;X;;;;
Art109_4_GG;X;;;;
Art109_5_GG;X;;;;
Art109a_1_GG;X;;;;
Art109a_2_GG;X;;;;
Art109a_3_GG;X;;;;
Art110_1_GG;X;;;;
Art110_2_GG;X;;;;
Art110_3_GG;X;;;;
Art110_4_GG;X;;;;
Art111_1_GG;X;;;;
Art111_2_GG;X;;;;
Art112_GG;X;;;;
Art113_1_GG;X;;;;
Art113_2_GG;X;;;;
Art113_3_GG;X;;;;
Art114_1_GG;X;;;;
Art114_2_GG;X;;;;
Art115_1_GG;X;;;;
Art115_2_GG;X;;;;
Art115a_1_GG;Xa;;;;
Art115a_2_GG;Xa;;;;
Art115a_3_GG;Xa;;;;
Art115a_4_GG;Xa;;;;
Art115a_5_GG;Xa;;;;
Art115b_GG;Xa;;;;
Art115c_1_GG;Xa;;;;
Art115c_2_GG;Xa;;;;
Art115c_3_GG;Xa;;;;
Art115c_4_GG;Xa;;;;
Art115d_1_GG;Xa;;;;
Art115d_2_GG;Xa;;;;
Art115d_3_GG;Xa;;;;
Art115e_1_GG;Xa;;;;
Art115e_2_GG;Xa;;;;
Art115f_1_GG;Xa;;;;
Art115f_2_GG;Xa;;;;
Art115g_GG;Xa;;;;
Art115h_1_GG;Xa;;;;
Art115h_2_GG;Xa;;;;
Art115h_3_GG;Xa;;;;
Art115i_1_GG;Xa;;;;
Art115i_2_GG;Xa;;;;
Art115k_1_GG;Xa;;;;
Art115k_2_GG;Xa;;;;
Art115k_3_GG;Xa;;;;
Art115l_1_GG;Xa;;;;
Art115l_2_GG;Xa;;;;
Art115l_3_GG;Xa;;;;
Art116_1_GG;XI;;;;
Art116_2_GG;XI;;;;
Art117_1_GG;XI;;;;
Art117_2_GG;XI;;;;
Art118_GG;XI;;;;
Art118a_GG;XI;;;;
Art119_GG;XI;;;;
Art120_1_GG;XI;;;;
Art120_2_GG;XI;;;;
Art120a_1_GG;XI;;;;
Art120a_2_GG;XI;;;;
Art121_GG;XI;;;;
Art122_1_GG;XI;;;;
Art122_2_GG;XI;;;;
Art123_1_GG;XI;;;;
Art123_2_GG;XI;;;;
Art124_GG;XI;;;;
Art125_GG;XI;;;;
Art125a_1_GG;XI;;;;
Art125a_2_GG;XI;;;;
Art125a_3_GG;XI;;;;
Art125b_1_GG;XI;;;;
Art125b_2_GG;XI;;;;
Art125b_3_GG;XI;;;;
Art125c_1_GG;XI;;;;
Art125c_2_GG;XI;;;;
Art125c_3_GG;XI;;;;
Art126_GG;XI;;;;
Art127_GG;XI;;;;
Art128_GG;XI;;;;
Art129_1_GG;XI;;;;
Art129_2_GG;XI;;;;
Art129_3_GG;XI;;;;
Art129_4_GG;XI;;;;
Art130_1_GG;XI;;;;
Art130_2_GG;XI;;;;
Art130_3_GG;XI;;;;
Art131_GG;XI;;;;
Art132_1_GG;XI;;;;
Art132_2_GG;XI;;;;
Art132_3_GG;XI;;;;
Art132_4_GG;XI;;;;
Art133_GG;XI;;;;
Art134_1_GG;XI;;;;
Art134_2_GG;XI;;;;
Art134_3_GG;XI;;;;
Art134_4_GG;XI;;;;
Art135_1_GG;XI;;;;
Art135_2_GG;XI;;;;
Art135_3_GG;XI;;;;
Art135_4_GG;XI;;;;
Art135_5_GG;XI;;;;
Art135_6_GG;XI;;;;
Art135_7_GG;XI;;;;
Art135a_1_GG;XI;;;;
Art135a_2_GG;XI;;;;
Art136_1_GG;XI;;;;
Art136_2_GG;XI;;;;
Art137_1_GG;XI;;;;
Art137_2_GG;XI;;;;
Art137_3_GG;XI;;;;
Art138_GG;XI;;;;
Art139_GG;XI;;;;
Art140_GG;XI;;;;
Art141_GG;XI;;;;
Art142_GG;XI;;;;
Art142a_GG;XI;;;;
Art143_1_GG;XI;;;;
Art143_2_GG;XI;;;;
Art143_3_GG;XI;;;;
Art143a_1_GG;XI;;;;
Art143a_2_GG;XI;;;;
Art143a_3_GG;XI;;;;
Art143b_1_GG;XI;;;;
Art143b_2_GG;XI;;;;
Art143b_3_GG;XI;;;;
Art143c_1_GG;XI;;;;
Art143_2_GG;XI;;;;
Art143_3_GG;XI;;;;
Art143_4_GG;XI;;;;
Art143d_1_GG;XI;;;;
Art143d_2_GG;XI;;;;
Art143d_3_GG;XI;;;;
Art143d_4_GG;XI;;;;
Art143e_1_GG;XI;;;;
Art143e_2_GG;XI;;;;
Art143e_3_GG;XI;;;;
Art143f_GG;XI;;;;
Art143g_GG;XI;;;;
Art144_1_GG;XI;;;;
Art144_2_GG;XI;;;;
Art145_1_GG;XI;;;;
Art145_2_GG;XI;;;;
Art145_3_GG;XI;;;;
Art146_GG;XI;;;;
Art136_1_WRV;;bürgerliche Rechte und Pflichten (WRV);;Bes. Gleichheitsrecht;Gleichheitsrecht
Art136_2_WRV;;Diskriminierungsverbot aufgrund der Religion bei staatsbürgerlichen Rechten (WRV);;Bes. Gleichheitsrecht;Gleichheitsrecht
Art136_3_WRV;;keine religiöse Offenbarungspflicht (WRV);;Bes. Freiheitsrecht;Freiheitsrecht
Art136_4_WRV;;negative Religionsfreiheit (WRV);;Bes. Freiheitsrecht;Freiheitsrecht
Art137_1_WRV;;;;;
Art137_2_WRV;;Freiheit der Religionsgesellschaften (WRV);;Bes. Freiheitsrecht;Freiheitsrecht
Art137_3_WRV;;Selbstverwaltungsgarantie (WRV);;Bes. Freiheitsrecht;Freiheitsrecht
Art137_4_WRV;;;;;
Art137_5_WRV;;;;;
Art137_6_WRV;;;;;
Art137_7_WRV;;;;;
Art137_8_WRV;;;;;
Art138_1_WRV;;;;;
Art138_2_WRV;;Eigentum der Religionsgesellschaften (WRV);;Bes. Freiheitsrecht;Freiheitsrecht
Art139_WRV;;;;;
Art141_WRV;;Religionsgesellschaften in öffentlichen Anstalten (WRV);;Bes. Freiheitsrecht;Freiheitsrecht
